Company,
A B M GLOBAL SHIPPING L.L.C,
A R T SHIPPING L.L.C,
AAA FREIGHT & SERVICES L.L.C,
AAL SHIPPING SERVICES,
AAMRO FREIGHT & SHIPPING SERVICES L.L.C,
ABDUL MUHSEN SHIPPING L.L.C,
ABRECO FREIGHT L.L.C BRANCH,
ACCEL GLOBAL FREIGHT AND SHIPPING L.L.C,
ACI LOGISTICS DWC L.L.C,
ACTION LOGISTICS FZE,
AEGON SHIPPING L.L.C,
AEON SHIPPING L.L.C,
AI ROBOTX MEA TRADING L.L.C,
AIR CARGO TRADER L.L.C,
AKM SHIPPING & STORAGE L.L.C,
AL BAHAR INTERNATIONAL SHIPPING L.L.C,
AL BARRAK SHIPPING AGENCIES CO L.L.C,
AL FADHIL CARGO CLEARING & FORWARDING L.L.C (AFCO),
AL FUTTAIM LOGISTICS,
AL GHAITH & AL MOOSA TRAVEL AGENCY L.L.C,
AL KHALIDIA INTERNATIONAL SHIPPING L.L.C,
AL MATEEN EXPRESS L.L.C,
AL NABOODAH LOGISTICS L.L.C,
AL NOWRAS LOGISTICS SOLUTIONS,
AL RAIS CARGO AGENCIES L.L.C,
AL RASHED UNITED DMCC,
AL RYAN FREIGHT L.L.C,
AL SAFA TRANSPORT L.L.C,
AL SAYEGH INSURANCE BROKERS L.L.C,
AL SHAMALI INTERNATIONAL FREIGHT SERVICES L.L.C,
AL TOWAR CARGO SERVICES L.L.C,
ALFA LOGISTICS FZCO,
ALL POINTS SHIPPING AND LOGISTICS L.L.C,
ALLIANZ CARGO,
ALLIED TRANSPORT L.L.C,
ALMA AL JUNAIBI FORWARDING & CLEARING L.L.C,
ALPHA STAR SHIPPING L.L.C,
ALPHABETA GLOBAL SHIPPING L.L.C,
AMAYA SHIPPING LINE L.L.C,
AMEXPRESS LOGISTICS,
AMIGOS LOGISTICS L.L.C,
ANCORA LINE SHIPPING & CARGO L.L.C,
APEIRON INTERNATIONAL CARGO SERVICES L.L.C,
APEX GLOBAL SHIPPING AND LOGISTICS L.L.C,
ARAMEX EMIRATES L.L.C,
ARATRANS TRANSPORT AND LOGISTICS SERVICES L.L.C,
ASCENT FREIGHT L.L.C,
ASTER MARINE CARGO L.L.C,
ATS SHIPPING L.L.C,
AURA FREIGHT TIME SHIPPING L.L.C,
AUTOFREIGHT SHIPPING & LOGISTICS L.L.C,
AW ROSTAMANI LOGISTICS L.L.C,
AZIMAR SHIPPING L.L.C,
AZIMI CARGO & LOGISTIC L.L.C,
BADAMI LOGISTICS L.L.C,
BAIT ALYMAMA SHIPPING SERVICES L.L.C,
BELL & JOHN SHIPPING CO. L.L.C,
BERTLING LOGISTICS L.L.C,
BEST GLOBAL LOGISTICS MIDDLE EAST FZE,
BGL CARGO EXPRESS L.L.C,
BINA SHIPPING SERVICES L.L.C,
BLACK PANTHER FOR SHIPPING L.L.C,
BLACKSTONE SEA AND AIR CARGO SERVICES L.L.C,
BLUE BELL SHIPPING L.L.C,
BLUE FIN INTERNATIONAL SHIPPING L.L.C,
BLUE SEA SHIPPING AGENCY L.L.C,
BLUE WATER SHIPPING MIDDLE EAST L.L.C,
BOLLORE LOGISTICS L.L.C,
BOXCOWORLD FZE,
BOXMAN GLOBAL LOGISTICS SERVICES L.L.C,
BRIDGEWAY SHIPPING & CLEARING SERVICES L.L.C,
BRIGHT LINE SHIPPING L.L.C,
BRIGHT WAY LOGISTICS SERVICES L.L.C,
C P WORLD L.L.C,
CALLIDUS CORPORATE AND MARITIME CONSULTING,
CAPELINE SHIPPING L.L.C,
CAPRICORN LOGISTICS L.L.C,
CAPTAINS FREIGHT SERVICES FZCO,
CARDIFF LOGISTICS INTERNATIONAL,
CARGO LINE FREIGHT AND LOGISTICS L.L.C,
CARGO LINE SHIPPING SERVICES L.L.C,
CARGO PLAN INTERNATIONAL L.L.C,
CASPIAN CONTAINER COMPANY -REP- OFFICE,
CEEKAY MULTISERVICES FZE,
CENTAURUS SKY SHIPPING L.L.C,
CENTURION SHIPPING L.L.C,
CFL GLOBAL FREIGHT L.L.C,
CHARIS GLOBAL LOGISTICS L.L.C,
CJ ICM FZCO,
CJ ICM SERVICES DWC L.L.C,
CKF INTERNATIONAL SHIPPING & LOGISTICS L.L.C,
CLARION SHIPPING SERVICES L.L.C.,
CLEMATIS LOGISTICS SERVICES L.L.C,
CMS LOGISTICS L.L.C,
COMBINE CARGO SERVICES CO L.L.C,
COMPASS SEA & AIR CARGO L.L.C,
CONSOLIDATED SHIPPING SERVICES L.L.C,
CORVETTE SHIPPING L.L.C,
CROSS FREIGHT DMCC,
CROSSWELL LOGISTICS L.L.C,
CSP ABU DHABI CFS LTD,
CUBE FREIGHT SOLUTIONS L.L.C,
CWT-SML LOGISTICS L.L.C,
DAMCO LOGISTICS L.L.C,
DANZAS AEI EMIRATES L.L.C,
DEAL FREIGHT & LOGISTICS L.L.C,
DEUGRO EMIRATES SHIPPING L.L.C,
DHL GLOBAL FORWARDING ABUDHABI L.L.C,
DIJLA CLEARING AND FORWARDING L.L.C,
DILIGENT FREIGHT SERVICES L.L.C,
DIMAS SHIPPING L.L.C,
DIRECT SHIPPING SERVICES L.L.C,
DNATA CARGO,
DORIS SHIPPING & FORWARDING L.L.C,
DOYENS LOGISTICS L.L.C,
DP WORLD LOGISTICS UAE FZE,
DREAM LAND INTERNATIONAL CARGO,
DUBAI EXPRESS L.L.C (FREIGHTWORKS BRANCH),
DYNAGLOBE CARGO TRANSPORT BY HEAVY TRUCKS CO. L.L.C,
E G T SHIPPING AND CLEARING,
